player,club,league,age,final_score,defensive_protection,transition_control,possession_security,progressive_value,age_availability,defensive_protection_rank,transition_control_rank,possession_security_rank,progressive_value_rank,age_availability_rank,strongest_category,weakest_category,passed_defensive_gate,gate_margin,archetype_label,analyst_note
Exequiel Palacios,Bayer Leverkusen,Bundesliga,27,73.77,47.5,79.29,99.29,85.83,40.0,13,1,1,1,16,possession_security,age_availability,True,2.5,Control profile,"Borderline defensive-gate profile; strongest in possession security, weakest in age availability. Role and video review should test defensive translation."
Johnny Cardoso,Atletico Madrid,La Liga,24,70.0,85.0,63.57,71.43,57.5,42.5,2,3,5,8,15,defensive_protection,age_availability,True,40.0,Two-axis defensive/security fit,Strongest in defensive protection; weakest in age availability. Use video to test role fit.
Manuel Ugarte,Manchester United,Premier League,25,61.7,84.17,57.14,72.14,15.0,37.5,3,10,4,19,17,defensive_protection,progressive_value,True,39.17,Two-axis defensive/security fit,Strongest in defensive protection; weakest in progressive value. Use video to test role fit.
Elliot Anderson,Nottingham Forest,Premier League,23,61.66,42.5,65.0,67.14,80.83,75.0,14,2,7,4,1,progressive_value,defensive_protection,False,-2.5,Removed by defensive gate,Below the light defensive gate by 2.5 points; keep for video/context review rather than treating as rejected.
Morten Hjulmand,Sporting CP,Primeira Liga,26,58.82,69.17,51.07,55.71,55.0,62.5,5,14,10,11,6,defensive_protection,transition_control,True,24.17,Watchlist / role-context needed,Strongest in defensive protection; weakest in transition control. Use video to test role fit.
Florentino Luís,Burnley,Premier League,26,58.54,95.83,59.29,47.86,8.33,35.0,1,8,14,20,18,defensive_protection,progressive_value,True,50.83,Defensive-floor anchor,Strongest in defensive protection; weakest in progressive value. Use video to test role fit.
Angelo Stiller,Stuttgart,Bundesliga,25,56.68,8.33,60.71,95.0,78.33,70.0,19,6,2,5,3,possession_security,defensive_protection,False,-36.67,Removed by defensive gate,Below the light defensive gate by 36.7 points; keep for video/context review rather than treating as rejected.
Mats Wieffer,Brighton & Hove Albion,Premier League,26,56.57,60.0,52.86,56.43,55.83,57.5,8,12,9,9,8,defensive_protection,transition_control,True,15.0,Watchlist / role-context needed,Strongest in defensive protection; weakest in transition control. Use video to test role fit.
Adam Wharton,Crystal Palace,Premier League,22,54.61,50.0,61.43,50.0,67.5,32.5,12,4,13,6,19,progressive_value,age_availability,True,5.0,Watchlist / role-context needed,"Borderline defensive-gate profile; strongest in progressive value, weakest in age availability. Role and video review should test defensive translation."
Hugo Larsson,Eintracht Frankfurt,Bundesliga,21,54.29,38.75,60.71,66.43,54.17,55.0,15,6,8,12,10,possession_security,defensive_protection,False,-6.25,Removed by defensive gate,Below the light defensive gate by 6.2 points; keep for video/context review rather than treating as rejected.
Alan Varela,Porto,Primeira Liga,24,53.32,57.5,57.86,51.43,42.5,47.5,9,9,12,14,14,transition_control,progressive_value,True,12.5,Watchlist / role-context needed,Strongest in transition control; weakest in progressive value. Use video to test role fit.
Aleix Garcia,Bayer Leverkusen,Bundesliga,28,53.21,6.67,55.0,88.57,83.33,56.25,20,11,3,3,9,possession_security,defensive_protection,False,-38.33,Removed by defensive gate,Below the light defensive gate by 38.3 points; keep for video/context review rather than treating as rejected.
Ederson,Atalanta,Serie A,26,49.91,67.5,52.86,24.29,45.0,72.5,6,12,16,13,2,age_availability,possession_security,True,22.5,Low-control defensive specialist,Strongest in age availability; weakest in possession security. Use video to test role fit.
Samuele Ricci,AC Milan,Serie A,24,49.23,28.75,61.43,70.0,34.17,52.5,17,4,6,16,12,possession_security,defensive_protection,False,-16.25,Removed by defensive gate,Below the light defensive gate by 16.2 points; keep for video/context review rather than treating as rejected.
Bruno Guimarães,Newcastle United,Premier League,28,47.92,27.5,44.29,52.14,85.83,53.75,18,16,11,1,11,progressive_value,defensive_protection,False,-17.5,Removed by defensive gate,Below the light defensive gate by 17.5 points; keep for video/context review rather than treating as rejected.
Carlos Baleba,Brighton & Hove Albion,Premier League,22,46.17,51.25,50.71,25.71,55.83,66.25,11,15,15,9,4,age_availability,possession_security,True,6.25,Watchlist / role-context needed,Strongest in age availability; weakest in possession security. Use video to test role fit.
João Gomes,Wolverhampton Wanderers,Premier League,25,43.55,75.0,44.29,6.43,35.83,60.0,4,16,20,15,7,defensive_protection,possession_security,True,30.0,Defensive-floor anchor,Strongest in defensive protection; weakest in possession security. Use video to test role fit.
Youssouf Fofana,AC Milan,Serie A,27,38.15,36.25,34.64,20.71,67.5,66.25,16,18,17,6,4,progressive_value,possession_security,False,-8.75,Removed by defensive gate,Below the light defensive gate by 8.8 points; keep for video/context review rather than treating as rejected.
Amadou Onana,Aston Villa,Premier League,24,31.32,55.0,25.0,14.29,16.67,50.0,10,19,19,18,13,defensive_protection,possession_security,True,10.0,Watchlist / role-context needed,Strongest in defensive protection; weakest in possession security. Use video to test role fit.
Casemiro,Manchester United,Premier League,34,30.59,63.33,12.86,15.0,25.0,17.5,7,20,18,17,20,defensive_protection,transition_control,True,18.33,Watchlist / role-context needed,Strongest in defensive protection; weakest in transition control. Use video to test role fit.
