rank,player,squad,league,date_of_birth,age,minutes,market_value_m_eur,availability_note,context_source,context_source_url,control_midfielder_score,defensive_protection,transition_control,possession_security,progressive_value,age_availability,passed_defensive_gate,gate_margin,gate_status,defensive_protection_metric_count,transition_control_metric_count,possession_security_metric_count,progressive_value_metric_count,age_availability_metric_count
1,Exequiel Palacios,Bayer Leverkusen,Bundesliga,1998-10-05,27,1986,45,"Elite control, availability watch",Bundesliga/Transfermarkt profile checked May 2026,https://www.bundesliga.com/en/bundesliga/player/exequiel-palacios/,73.77,47.5,79.29,99.29,85.83,40.0,True,2.5,Borderline / video review,6,7,7,6,2
2,Johnny Cardoso,Atlético Madrid,La Liga,2001-09-20,24,2050,35,La Liga target pool: defensive midfielder with ball-carrying balance,Public profile checked May 2026,https://en.wikipedia.org/wiki/Johnny_Cardoso,70.0,85.0,63.57,71.43,57.5,42.5,True,40.0,Passed gate,6,7,7,6,2
3,Morten Hjulmand,Sporting CP,Primeira Liga,1999-06-25,26,2520,35,Aggressive holder with passing range,UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefachampionsleague/clubs/players/250101557--morten-hjulmand/,58.82,69.17,51.07,55.71,55.0,62.5,True,24.17,Passed gate,6,7,7,6,2
4,Florentino Luís,Burnley,Premier League,1999-08-19,26,1745,30,"EPL target pool: defensive specialist, on loan from Benfica in 2025/26 public profiles",UEFA 2025/26 profile lists Burnley loan,https://www.uefa.com/uefachampionsleague/clubs/players/250089225--florentino/,58.54,95.83,59.29,47.86,8.33,35.0,True,50.83,Passed gate,6,7,7,6,2
5,Mats Wieffer,Brighton & Hove Albion,Premier League,1999-11-16,26,2385,32,EPL target pool: tall distributor with defensive base,Public profile checked May 2026,https://en.wikipedia.org/wiki/Mats_Wieffer,56.57,60.0,52.86,56.43,55.83,57.5,True,15.0,Passed gate,6,7,7,6,2
6,Adam Wharton,Crystal Palace,Premier League,2004-02-06,22,1200,35,"Young controller, sample-size caution",UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefaconferenceleague/clubs/players/250178736--adam-wharton/,54.61,50.0,61.43,50.0,67.5,32.5,True,5.0,Borderline / video review,6,7,7,6,2
7,Alan Varela,Porto,Primeira Liga,2001-07-04,24,2225,30,"Balanced anchor, promising age curve",UEFA/Wikipedia profile checked May 2026,https://www.uefa.com/uefaeuropaleague/clubs/players/250188256--alan-varela/,53.32,57.5,57.86,51.43,42.5,47.5,True,12.5,Passed gate,6,7,7,6,2
8,Ederson,Atalanta,Serie A,1999-07-07,26,2822,35,Two-way transition defender,UEFA 2025/26 profile,https://www.uefa.com/uefachampionsleague/clubs/players/250188474--ederson/,49.91,67.5,52.86,24.29,45.0,72.5,True,22.5,Passed gate,6,7,7,6,2
9,Carlos Baleba,Brighton & Hove Albion,Premier League,2004-01-03,22,2580,55,May 2026 EPL target pool: young ball-winner with carrying upside,Public profile checked May 2026,https://en.wikipedia.org/wiki/Carlos_Baleba,46.17,51.25,50.71,25.71,55.83,66.25,True,6.25,Passed gate,6,7,7,6,2
10,João Gomes,Wolverhampton Wanderers,Premier League,2001-02-12,25,2464,40,Ball-winning transition disruptor,Public profile checked May 2026,https://www.premierleague.com/,43.55,75.0,44.29,6.43,35.83,60.0,True,30.0,Passed gate,6,7,7,6,2
11,Amadou Onana,Aston Villa,Premier League,2001-08-16,24,2277,50,EPL target pool: physical defensive upside,Aston Villa transfer from Everton in Jul 2024,https://global.espn.com/football/story/_/id/40616656/aston-villa-complete-amadou-onana-transfer-everton,31.32,55.0,25.0,14.29,16.67,50.0,True,10.0,Passed gate,6,7,7,6,2
